us_man@LAPTOP-9S3V54PQ:/mnt/c/Users/Usman/Downloads$ cat regional-global-daily-latest.csv
,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
146,Perfect,"Ed Sheeran",802681,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
147,Dior,"Pop Smoke",798132,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
148,GOODMORNINGTOKYO!,"TOKYO’S REVENGE",796210,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
150,"Jocelyn Flores",XXXTENTACION,788837,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
156,goosebumps,"Travis Scott",774440,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
158,Starboy,"The Weeknd",772300,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
16,Ignorantes,"Bad Bunny",2792407,https://open.spotify.com/track/3wYRLYuO1M88d8woWUIxct
160,"Inner Child",BTS,762327,https://open.spotify.com/track/4BKOjYosPhw334moS3wlbO
165,"Higher Love",Kygo,746753,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
167,I.F.L.Y.,Bazzi,740749,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
173,Moon,BTS,725129,https://open.spotify.com/track/1xfXXujIlLZAx5wpu46Nyk
176,"Truth Hurts",Lizzo,722533,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq
